Crop,Soil_Type,Nitrogen,Phosphorus,Potassium,Fertilizer,NPK_Ratio,Reason,Application
Potato,Loamy,109,47,176,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Loamy,72,16,33,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Loamy,128,45,152,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Loamy,53,33,34,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Loamy,145,54,176,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Loamy,57,50,136,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Loamy,64,65,179,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Loamy,135,58,73,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Loamy,59,72,31,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Loamy,114,56,128,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Loamy,148,31,83,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Loamy,33,39,71,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Loamy,67,64,177,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Loamy,47,35,176,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Loamy,31,17,55,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Loamy,98,21,182,SSP (Single Super Phosphate),0-16-0,Severe phosphorus deficiency. SSP provides P with calcium and sulphur — ideal for legumes and oilseeds.,Apply 200–250 kg/ha as basal dose incorporated into soil before sowing.
Potato,Loamy,80,43,68,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Loamy,83,53,148,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Loamy,118,48,172,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Loamy,126,59,38,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Loamy,24,25,134,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Loamy,75,37,169,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Clay,136,69,79,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Clay,111,29,60,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Clay,47,33,97,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Clay,128,19,145,SSP (Single Super Phosphate),0-16-0,Severe phosphorus deficiency. SSP provides P with calcium and sulphur — ideal for legumes and oilseeds.,Apply 200–250 kg/ha as basal dose incorporated into soil before sowing.
Potato,Clay,90,30,107,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Clay,61,49,98,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Clay,44,19,116,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Clay,137,33,145,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Clay,106,70,159,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Clay,95,53,171,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Clay,74,32,31,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Clay,128,62,46,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Clay,96,41,48,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Clay,147,25,40,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Clay,98,58,35,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Clay,106,45,46,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Clay,45,47,76,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Clay,142,63,184,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Clay,56,73,97,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Clay,67,15,38,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Clay,111,40,65,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Clay,101,27,120,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Clay,69,63,159,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Clay,84,34,87,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Clay,125,32,62,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Silt,34,41,105,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Silt,129,25,90,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Silt,125,63,90,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Silt,81,31,176,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Silt,38,70,137,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Silt,90,14,104,SSP (Single Super Phosphate),0-16-0,Severe phosphorus deficiency. SSP provides P with calcium and sulphur — ideal for legumes and oilseeds.,Apply 200–250 kg/ha as basal dose incorporated into soil before sowing.
Potato,Silt,75,22,133,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Silt,146,47,142,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Silt,32,38,48,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Silt,101,71,134,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Silt,33,34,116,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Silt,74,64,158,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Silt,101,35,70,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Silt,37,34,95,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Silt,109,53,41,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Silt,73,23,54,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Silt,128,14,96,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Silt,45,67,117,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Silt,53,43,145,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Silt,144,25,169,SSP (Single Super Phosphate),0-16-0,Severe phosphorus deficiency. SSP provides P with calcium and sulphur — ideal for legumes and oilseeds.,Apply 200–250 kg/ha as basal dose incorporated into soil before sowing.
Potato,Silt,141,69,130,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Silt,103,37,148,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Silt,90,54,97,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Silt,116,63,53,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Silt,128,46,163,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Black,78,35,174,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Black,55,65,106,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Black,88,31,120,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Black,64,14,72,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Black,24,73,182,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Black,73,57,84,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Black,108,62,179,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Black,74,61,71,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Black,148,13,125,SSP (Single Super Phosphate),0-16-0,Severe phosphorus deficiency. SSP provides P with calcium and sulphur — ideal for legumes and oilseeds.,Apply 200–250 kg/ha as basal dose incorporated into soil before sowing.
Potato,Black,107,55,48,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Black,142,23,128,SSP (Single Super Phosphate),0-16-0,Severe phosphorus deficiency. SSP provides P with calcium and sulphur — ideal for legumes and oilseeds.,Apply 200–250 kg/ha as basal dose incorporated into soil before sowing.
Potato,Black,52,31,116,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Black,76,22,56,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Black,76,59,171,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Black,34,36,45,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Black,26,53,124,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Black,44,26,33,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Black,129,73,51,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Black,53,66,175,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Black,76,15,36,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Black,96,36,34,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Black,97,12,154,SSP (Single Super Phosphate),0-16-0,Severe phosphorus deficiency. SSP provides P with calcium and sulphur — ideal for legumes and oilseeds.,Apply 200–250 kg/ha as basal dose incorporated into soil before sowing.
Potato,Black,62,14,122,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Black,74,73,115,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Black,58,56,72,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Red,137,35,116,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Red,30,38,161,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Red,125,26,65,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Red,126,70,45,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
Potato,Red,80,33,167,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Red,34,25,148,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Red,30,43,99,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Red,66,36,113,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Red,44,48,156,Urea,46-0-0,Nitrogen is severely deficient. Urea (46% N) rapidly restores soil nitrogen for vegetative growth.,Apply 100–120 kg/ha split: 50% at sowing + 50% at 30 DAS. Incorporate into moist soil.
Potato,Red,119,21,53,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Red,57,34,94,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Red,109,15,35,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Red,73,55,60,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Red,104,28,169,DAP,18-46-0,Phosphorus is severely deficient. DAP delivers high P (46%) essential for root development and energy transfer.,"Apply 80–100 kg/ha as basal dose, 5–10 cm below seed level before planting."
Potato,Red,136,30,66,NPK 10-26-26,10-26-26,Phosphorus and potassium are deficient; nitrogen is adequate. NPK 10-26-26 corrects P & K without excess N.,Apply 120–150 kg/ha as basal dose before planting. Ideal for fruiting crops.
Potato,Red,75,27,135,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Red,128,54,159,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Red,74,21,146,NPK 20-20-0,20-20-0,Nitrogen and phosphorus are deficient; potassium is adequate. NPK 20-20-0 targets N & P without excess K.,Apply 120–150 kg/ha at sowing. Supplement with 30 kg/ha urea at tillering stage.
Potato,Red,69,54,72,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Red,34,74,54,NPK 13-0-45,13-0-45,High potassium demand with adequate phosphorus. NPK 13-0-45 provides premium K and supplementary N for quality crops.,Apply 100–120 kg/ha: 40% basal + 60% at flowering/fruiting via fertigation.
Potato,Red,148,73,155,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Red,107,48,166,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Red,60,41,127,Ammonium Sulphate,21-0-0,Nitrogen is moderately low. Ammonium Sulphate provides N + sulphur — ideal for alkaline/sulphur-deficient soils.,Apply 100–150 kg/ha in two splits: at planting and 30–40 DAS.
Potato,Red,75,38,82,NPK 17-17-17,17-17-17,"All three nutrients (N, P, K) are below optimal. Balanced 17-17-17 corrects deficiencies uniformly.",Apply 150–200 kg/ha basal + 50–75 kg/ha top-dress at 30 & 60 DAS.
Potato,Red,95,65,61,MOP (Muriate of Potash),0-0-60,"Potassium is severely deficient. MOP (60% K) improves drought tolerance, disease resistance, and grain quality.",Apply 60–80 kg/ha: 50% basal at sowing + 50% at flowering. Avoid during dry spells.
